번호,name,LAT,LON
270,미아동 791-1342,37.6266346,127.0148373
271,미아동 860-43,37.6113601,127.0328105
272,미아동 100-18,37.6179404,127.0311076
273,미아동 79-47,37.613166,127.0332037
274,미아동 258-217,37.6228127,127.0333394
275,미아동 8-3,37.6130611,127.035361
276,미아동 135-68,37.6205748,127.0314327
277,미아동 258-182,37.6231462,127.0320994
278,미아동 734-80,37.6223092,127.0210329
279,미아동 323-30,37.6199211,127.0266729
280,미아동 449-24,37.6164168,127.0268143
281,미아동 473-60,37.6146764,127.0263513
282,수유1동 468-251,37.6312715,127.0145088
283,수유2동 716-2,37.6470604,127.0231699
284,수유2동 711-6,37.6475958,127.0216453
285,수유3동 172-192,37.6419664,127.0279724
286,수유3동 39-53,37.6413032,127.0220754
287,수유동 291-229,37.645924,127.0140299
288,우이동 61-24,37.6561573,127.0124492
289,인수동 550-11,37.6444429,127.0113782
290,수유동 391-10,37.6396779,127.0144483
291,수유동 451-63,37.6349172,127.0157938
292,수유동 54-5,37.6308017,127.0229792
293,수유동 54-5,37.6308017,127.0229792
294,수유동 54-5,37.6308017,127.0229792
295,수유동 54-5,37.6308017,127.0229792
296,수유동 54-5,37.6308017,127.0229792
297,수유동 54-5,37.6308017,127.0229792
298,수유동 54-5,37.6308017,127.0229792
299,수유동 54-5,37.6308017,127.0229792
300,미아동 791-3150,37.6264096,127.0135135
301,미아동 791-1816,37.624412,127.0115467
302,미아동 788-7,37.6268969,127.0208696
303,미아동 791-2016,37.622198,127.0138467
304,미아동 791-145,37.6291118,127.0199145
305,미아동 837-906,37.6207217,127.0124565
306,미아동 239-4,37.62864,127.020459
307,미아동 838-21,37.6204453,127.01811
308,미아동 838-21(보조),37.6204453,127.01811
309,미아동 791-1548,37.6250515,127.0139147
310,미아동 190-1,37.6305692,127.0249568
311,미아동 187-57,37.6312062,127.0251436
312,미아동 163-21,37.6322409,127.0266142
313,미아동 218-7,37.6294502,127.0228235
314,미아동 158-12,37.6339643,127.026315
315,미아동 214-4,37.6272903,127.024875
316,미아동 121-21,37.6256423,127.0271042
317,미아동 783-16 ,37.6272764,127.0224154
318,미아동 226-71,37.6263683,127.0220002
319,미아동 87-14,37.6158652,127.0326962
320,미아동 55-58,37.6133767,127.0309529
321,미아동 130-60,37.6220399,127.0289131
322,미아동 87-115,37.6159361,127.0341877
323,미아동 258-163,37.6244219,127.0318424
324,미아동 82-4,37.6142809,127.0343698
325,미아동 258-165,37.6243016,127.0324136
326,미아동 42-59,37.6106952,127.0319357
327,미아동 130-34,37.6229804,127.0298626
328,미아동 416-35,37.6166644,127.026817
329,미아동 455-7,37.6154419,127.0281167
330,미아동 734-109,37.6210082,127.0217396
331,미아동 315-68,37.622396,127.0254669
332,미아동 1264-240,37.6150793,127.0224583
333,미아동 323-4,37.6204332,127.0273826
334,미아동 867-28,37.6226272,127.0207556
335,미아동 439-138,37.6145874,127.025151
336,미아동 679-11,37.6185793,127.022895
337,미아동 416-55,37.6162727,127.0259426
338,미아동 691-7,37.6194037,127.0193806
339,미아동 1341-12,37.6198364,127.0168757
340,미아동 693,37.6189931,127.0201467
341,번1동 445-40,37.6366405,127.0271345
342,번1동 460-116,37.6376148,127.0315381
343,번1동 472-4,37.6399548,127.0331709
344,번1동 430-46,37.6352825,127.0359431
345,번1동 444-21,37.6361049,127.0280455
346,번1동 467-68,37.6406793,127.0308299
347,번동 148-324,37.6255662,127.0329232
348,번동 148-68,37.6278588,127.0365454
349,번동 656,37.6306219,127.0354076
350,번동 349-7,37.6327291,127.0347757
351,번동 440-12 ,37.6337899,127.0287301
352,번동 148-280,37.6264466,127.0332235
353,번동 148-30,37.6271715,127.0381163
354,번동 159-13,37.6275286,127.0399764
355,번동 621-6,37.6283148,127.0428905
356,번동 148-232,37.6266135,127.0366115
357,수유동 486-510 ,37.6301183,127.014171
358,수유동 48-58,37.6338573,127.0206421
359,수유동 486-1159,37.6268003,127.0106729
360,수유동 486-1275,37.6268186,127.0116083
361,수유동 468-239,37.6308268,127.0155674
362,수유동 472-326,37.6324864,127.0170378
363,수유동 252-95,37.6445777,127.0216666
364,수유동 270-110,37.6467607,127.0192839
365,수유동 680-3,37.6456216,127.023168
366,수유동 237-18,37.6428006,127.0214779
367,수유동 170-22,37.643722,127.0254879
368,수유동 172-147,37.6426916,127.0270208
369,수유동 172-147(보조),37.6426916,127.0270208
370,수유동 134-56,37.6358675,127.019496
371,수유동 392-6,37.6395385,127.0177992
372,수유동 175-1,37.6412607,127.027849
373,수유동 1-69,37.6365238,127.0218393
374,수유동 564-15,37.6462964,127.0082101
375,우이동 340,37.651876,127.010922
376,우이동 292-17,37.6450379,127.0124408
377,우이동 292-17(보조),37.6450379,127.0124408
378,우이동 124-25,37.6586298,127.010754
379,우이동 124-25(보조),37.6586298,127.010754
380,우이동 180-65,37.6631803,127.0105525
381,우이동 566-18,37.6465908,127.0112029
382,우이동 154-89,37.661939,127.0090064
383,수유동 348-39,37.6421284,127.0147826
384,수유동 516-51,37.6374362,127.00902
385,수유동 442-23,37.6352231,127.0153036
386,수유동 296-14,37.6433633,127.0124418
387,수유동 400-22,37.635197,127.0179191
388,수유동 535-31,37.6439163,127.0077826
389,수유동 535-31(보조),37.6439163,127.0077826
390,수유동 313-2,37.6446268,127.0150484
391,수유동 521-10,37.6388167,127.0092837
